Abbreviation,Full Name,Division
ANA,Anaheim Ducks,Pacific
BOS,Boston Bruins,Atlantic
BUF,Buffalo Sabres,Atlantic
CGY,Calgary Flames,Pacific
CAR,Carolina Hurricanes,Metropolitan
CHI,Chicago Blackhawks,Central
COL,Colorado Avalanche,Central
CBJ,Columbus Blue Jackets,Metropolitan
DAL,Dallas Stars,Central
DET,Detroit Red Wings,Atlantic
EDM,Edmonton Oilers,Pacific
FLA,Florida Panthers,Atlantic
LAK,Los Angeles Kings,Pacific
MIN,Minnesota Wild,Central
MTL,Montréal Canadiens,Atlantic
NSH,Nashville Predators,Central
NJD,New Jersey Devils,Metropolitan
NYI,New York Islanders,Metropolitan
NYR,New York Rangers,Metropolitan
OTT,Ottawa Senators,Atlantic
PHI,Philadelphia Flyers,Metropolitan
PIT,Pittsburgh Penguins,Metropolitan
SJS,San Jose Sharks,Pacific
SEA,Seattle Kraken,Pacific
STL,St. Louis Blues,Central
TBL,Tampa Bay Lightning,Atlantic
TOR,Toronto Maple Leafs,Atlantic
UTA,Utah Hockey Club,Central
VAN,Vancouver Canucks,Pacific
VGK,Vegas Golden Knights,Pacific
WSH,Washington Capitals,Metropolitan
WPG,Winnipeg Jets,Central